127.0.0.1, 2020-02-07 11:31:41, GET, /, HTTP/1.1, 303, 0.004287
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.297801
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002338
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001691
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001489
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002430
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001649
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001508
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002104
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002220
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003651
127.0.0.1, 2020-02-07 11:31:42, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000405
127.0.0.1, 2020-02-07 11:31:43, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2020-02-07 11:31:43, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000387
127.0.0.1, 2020-02-07 11:31:57, GET, /admin/default/index, HTTP/1.1, 200, 0.197986
127.0.0.1, 2020-02-07 11:31:57, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000543
127.0.0.1, 2020-02-07 11:31:57, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.001966
127.0.0.1, 2020-02-07 11:31:57, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.003014
